label                            , group       , examples                                                                                                                                                , description                                                                                , key_label
Sentences                        , Basic       ,                                                                                                                                                         , Chosen randomly from lorem ipsum                                                           , sentences
Sequence                         , Basic       ,                                                                                                                                                         , Generates a sequence of numbers with adjustable step and repeat options.                   , sequence
SHA1                             , IT          ,                                                                                                                                                         , Random hex encoded SHA1 hash                                                               , sha1
SHA256                           , IT          ,                                                                                                                                                         , Random hex encoded SHA256 hash                                                             , sha256
Shirt Size                       , Personal    , S<br/>M<br/>L                                                                                                                                           ,                                                                                            , shirt_size
Short Hex Color                  , Basic       , #14b<br/>#a32<br/>#926                                                                                                                                  ,                                                                                            , short_hex_color
Slogan                           , Personal    ,                                                                                                                                                         , Randomly generated marketing slogans                                                       , slogan
SSN                              , Personal    , 678-59-9455<br/>312-20-4597<br/>684-62-5799                                                                                                             ,                                                                                            , ssn
State                            , Location    ,                                                                                                                                                         , "State/Province names, US and worldwide"                                                   , state
State (abbrev)                   , Location    ,                                                                                                                                                         , "Two character state/province abbreviations, US and worldwide"                             , state_abbrev
Stock Industry                   , Commerce    , Semiconductors<br/>Major Banks<br/>Oil & Gas Production                                                                                                 ,                                                                                            , stock_industry
Stock Market                     , Commerce    , NYSE<br/>NASDAQ                                                                                                                                         ,                                                                                            , stock_market
Stock Market Cap                 , Commerce    , $33.03B<br/>$54.29M<br/>$41.02M                                                                                                                         ,                                                                                            , stock_market_cap
Stock Name                       , Commerce    , "Microsoft Corporation<br/>NetApp, Inc.<br/>The Bancorp, Inc."                                                                                          ,                                                                                            , stock_name
Stock Sector                     , Commerce    , Technology<br/>Capital Goods<br/>Finance                                                                                                                ,                                                                                            , stock_sector
Stock Symbol                     , Commerce    , MSFT<br/>NTAP<br/>TBBK                                                                                                                                  ,                                                                                            , stock_symbol
Street Address                   , Location    , 6449 Pine View Drive                                                                                                                                    , "Street number, name, and suffix"                                                          , street_address
Street Name                      , Location    , Pine View                                                                                                                                               , A street name (excluding the suffix)                                                       , street_name
Street Number                    , Location    , 6449                                                                                                                                                    , A street number between 1 and 5 digits                                                     , street_number
Street Suffix                    , Location    , Drive<br/>Terrace<br/>Street                                                                                                                            ,                                                                                            , street_suffix
Suffix                           , Personal    , Jr<br/>Sr<br/>III                                                                                                                                       ,                                                                                            , suffix
Template                         , Advanced    ,                                                                                                                                                         , Concatenate values from several columns into one                                           , template
Tezos Account                    , Crypto      ,                                                                                                                                                         , A random Tezos account                                                                     , tezos_account
Tezos Block                      , Crypto      ,                                                                                                                                                         , A random Tezos block                                                                       , tezos_block
Tezos Contract                   , Crypto      ,                                                                                                                                                         , A random Tezos contract                                                                    , tezos_contract
Tezos Operation                  , Crypto      ,                                                                                                                                                         , A random Tezos operation                                                                   , tezos_operation
Tezos Signature                  , Crypto      ,                                                                                                                                                         , A random Tezos signature                                                                   , tezos_signature
Time                             , Basic       , 3:30 PM<br/>15:30                                                                                                                                       ,                                                                                            , time
Time Zone                        , Location    , America/Los_Angeles<br/>Europe/Budapest<br/>Pacific/Fiji                                                                                                ,                                                                                            , time_zone
Title                            , Personal    , Mr<br/>Ms<br/>Dr                                                                                                                                        ,                                                                                            , title
Top Level Domain                 , IT          , com<br/>edu<br/>org                                                                                                                                     ,                                                                                            , top_level_domain
ULID                             , Basic       ,                                                                                                                                                         , Universally Unique Lexicographically-sortable Identifier                                   , ulid
University                       , Personal    , The Johns Hopkins University<br/>Pepperdine University<br/>University of Texas                                                                          ,                                                                                            , university
URL                              , IT          , https://facebook.com<br/>http://google.com/path?foo=bar<br/>/foo/bar                                                                                    ,                                                                                            , url
User Agent                       , IT          ,                                                                                                                                                         , A user agent string from a popular web browser or bot                                      , user_agent
Username                         , IT          , jdoe<br/>twilliams<br/>jfang                                                                                                                            ,                                                                                            , username
Words                            , Basic       ,                                                                                                                                                         , Chosen randomly from lorem ipsum                                                           , words
